country,language,status,age,gender,nflights,flight_latest,flight_type,flight_purpose,flight_class,nps,reputation,sat1,sat2,sat3,overall_sat,loy1,loy2,loy3,loy4,loy5,com1,com2,com3,e1,s1,e2,s2,e3,s3,e4,s4,e5,s5,e6,s6,e7,s7,e8,s8,e9,s9,e10,s10,e11,s11,e12,s12,e13,s13,e14,s14,e15,s15,e16,s16,e17,s17,e18,s18,e19,s19,e20,s20,e21,s21,e22,s22,e23,s23,commitment
1,2,3,46,2,23,3,1,1,3,8,5,5,5,5,5,6,4,4,6,6,5,5,6,96,94,91,90,66,65,61,62,83,80,56,55,60,58,72,73,88,89,65,65,57,55,59,57,58,56,74,73,63,62,68,67,62,61,65,68,75,70,77,77,78,80,67,64,70,67,5.333333333333333
1,1,1,38,1,6,1,1,2,3,8,6,5,4,4,3,4,4,4,2,4,3,2,2,51,50,49,50,73,50,84,50,51,50,78,34,73,49,78,36,50,50,51,46,50,46,51,65,50,50,50,50,38,36,37,44,81,41,83,39,50,50,50,41,50,45,30,50,73,40,2.3333333333333335
1,2,3,54,2,50,2,1,1,3,9,7,5,5,4,3,4,5,4,4,4,4,4,2,78,72,82,83,94,84,83,60,57,42,60,57,62,63,62,57,84,82,58,55,77,75,80,78,75,73,76,71,85,60,70,69,74,76,66,60,71,69,87,57,64,61,71,59,92,30,3.3333333333333335
1,1,2,48,2,15,4,1,2,3,4,3,3,2,2,1,3,3,3,5,4,2,5,2,100,32,100,6,100,13,100,26,76,37,84,32,94,28,67,35,100,56,100,47,81,41,64,49,100,47,86,1,66,52,58,55,91,25,84,47,62,29,90,23,90,42,61,69,85,21,3
1,1,2,77,2,13,2,2,1,2,11,4,4,5,4,4,4,6,4,4,6,4,2,2,98,76,51,50,94,50,97,50,97,95,98,97,99,97,97,96,99,96,98,95,97,98,51,50,98,96,96,61,98,78,51,50,97,88,92,50, , ,96,73,98,97,96,94,97,79,2.6666666666666665
1,1,3,50,2,30,3,1,1,3,9,6,5,5,5,5,5,5,6,6,6,5,6,5,95,39,95,38,97,42,97,24,89,51,85,49,88,46,84,50,98,51,94,42,90,48,83,54,93,37,96,45,91,50,75,51,93,50,95,45,90,48,92,46,89,52,65,50,85,44,5.333333333333333
1,1,2,48,2,35,3,1,1,3,11,6,6,6,6,6,6,6,6,7,6,6,6,6,79,88,96,95,96,95,98,95,99,94,100,96,100,96,100,98,100,93,93,88,100,94,75,78,92,89,96,93,100,98,100,95,100,97,99,95,99,96,100,97,97,96,95,94,100,90,6
1,2,3,59,1,20,4,1,2,2,9,6,6,6,6,5,5,6,5,5,6,5,5,5,92,50,91,50,91,72,94,70,77,50,85,50,84,50,83,50,90,50,91,51,84,50,83,50,91,50,89,64,92,42,89,62,94,81,88,76,86,45,79,79,87,42,91,51,84,66,5
1,1,1,76,1,20,3,1,2,3,9,7,6,5,6,4,6,5,5,4,6,4,5,6,54,55,52,50,79,50,54,50,89,80,85,77,87,78,85,62,69,68,75,50,76,54,70,58,78,62,76,67,79,44,77,47,85,60,80,66,74,50,92,71,50,50,51,50,50,49,5
1,1,1,75,1,4,3,1,2,3,11,7,7,7,6,7,7,7,6,7,7,7,7,7,66,50,77,59,49,50,56,50,53,50,53,58,51,50,61,50,78,67,81,74,87,85,85,71,89,79,81,50,66,50,86,50,81,50,83,50,69,50,77,50,76,67,63,51,50,50,7
1,1,3,46,2,120,1,1,1,3,10,7,6,5,5,4,6,6,4,6,6,6,6,6,98,54,100,58,100,62,100,57,100,34,100,44,100,40,100,43,100,100,100,93,100,89,56,57,100,88,99,29,94,51,68,53,56,54,52,52,95,61,78,59,100,61,100,44,72,40,6
1,1,1,19,2,15,4,2,1,2,10,6,6,6,5,4,5,6,5,6,6,4,4,2,91,75,94,81,95,33,85,50,79,53,83,50,100,65,96,69,100,85,100,89,100,75,100,93,100,62,98,28,96,50,96,45,94,51,100,50,98,51,98,50,91,77,52,50,86,86,3.3333333333333335
1,1,2,51,2,30,3,1,1,3,11,7,7,5,5,7,7,6,7,6,7,5,5,4,100,23,100,37, , , , ,92,100,89,90,100,59,89,76,100,100,42,78,100,100,56,49,100,100,66,100, , ,16,54,79,100,90,100,65,91,42,95,100,100,1,55,66,72,4.666666666666667
1,1,2,47,2,30,1,2,1,3,6,5,5,4,5,4,4,3,2,4,5,4,5,5,73,61,81,65,76,65,82,74,74,33,80,35,71,31,74,35,85,85,87,85,83,77,88,86,87,55,84,62,87,67,80,74,84,79,85,82,77,71,82,80,82,51,78,26,73,36,4.666666666666667
1,1,2,41,1,30,2,1,1,3,3,5,3,2,2,2,1,2,2,5,5,2,1,6,100,32,100,24,100,1,100,27,32,39,100,39,75,30,85,33,82,78,67,50,71,54,73,71,70,49,69,29,70,68,70,52,87,78,65,51,33,29,73,74,80,48,21,47,73,50,3
1,1,2,24,2,62,2,1,2,3,8,6,5,5,5,4,4,5,6,6,4,6,7,7,95,46,93,38,97,44,87,42,99,41,95,48,91,47,91,49,100,87,95,43,96,37,95,41,100,86,92,42,91,39,92,42,98,62,98,53,100,35,100,54,95,80,100,45,82,36,6.666666666666667
1,2,2,35,2,10,3,2,1,3,8,7,5,5,4,5,5,5,4,6,6,2,2,1,82,70,100,61,73,52,84,48,79,38,83,51,67,40,74,53,94,50,97,50,95,50,94,50,93,50,95,48,95,17,85,1,97,48,94,50,78,50, , ,71,65,88,1,80,42,1.6666666666666667
1,1,1,46,2,4,3,2,2,3,9,6,6,6,6,6,4,4,4,3,4,6,4,1,100,73,100,78, , ,100,78,71,53,73,59,86,40,62,71,100,100,100,46,70,44,63,100,100,37,57,42,1,39,1,55,77,89,100,45,1,57,69,85,77,66,1,67,63,61,3.6666666666666665
1,1,3,54,2,10,3,2,1,2,9,6,6,5,6,5,6,6,6,5,6,4,6,5,75,50,100,92,94,38,95,60,94,94,97,91,94,62,90,85,100,88,100,57,100,81,100,94,100,65,96,96,78,96,79,97,100,91,100,77,58,50,87,95,83,94,50,63,41,30,5
1,1,2,46,2,50,3,1,1,3,6,5,6,5,6,7,7,7,7,7,6,7,7,7,100,100,94,92,95,20,100,18,100,95,100,90,100,83,100,100,100,100,100,100,100,100,91,100,100,100,88,94,100,100,100,100,93,100,94,98,95,95,93,100,92,92,92,90,87,71,7
1,1,2,50,2,80,2,1,1,3,8,6,5,5,4,3,4,5,5,5,5,5,2,2,94,4,96,7,90,48,96,8,93,42,97,33,94,52,87,19,99,96,94,69,80,84,58,76,75,72,83,25,76,40,86,13,90,90,91,43,55,72,95,75,93,52,100,4,68,30,3
1,1,3,50,1,80,2,1,1,3,6,6,6,6,6,6,5,6,4,6,4,4,5,5,97,38,100,70,100,48,100,37,90,11,94,49,89,50,93,11,100,98,100,49,100,64,100,79,48,50,98,51,50,50,51,49,96,88,96,83,95,50,96,95,91,25,20,50,45,49,4.666666666666667
1,1,2,48,2,16,5,1,1,2,9,6,6,5,5,5,5,6,5,6,6,5,5,6,80,76,85,47,87,53,84,84,81,41,83,39,93,17,83,36,83,80,78,65,78,80,76,52,82,77,83,32,81,37,84,43,56,48,83,33,52,51,85,42,59,57,49,51,53,46,5.333333333333333
1,1,2,47,2,22,2,1,1,3,3,2,2,1,1,2,1,1,1,1,2,1,3,1,100,1,100,24,100,35,100,53,56,49,50,50,54,50,71,52,50,50,50,50,51,60,50,50,50,90,51,35,59,50,50,50,50,48,72,42,50,50,50,48,100,47,50,46,23,8,1.6666666666666667
1,1,2,36,2,7,3,2,2,3,1,1,2,1,1,1,2,1,1,1,3,2,7,7,100,1,100,1,100,54,100,1,54,20,92,20,100,1,83,21,100,100,91,23,76,50,61,50,91,18,95,1,84,91,89,90,87,87,96,9,68,46,93,77,93,1,91,35,100,25,5.333333333333333
1,1,2,66,2,32,4,2,2,3,11,7,6,5,5,4,4,5,4,5,5,4,4,4,38,40,51,50,50,50,51,50,43,44,50,42,48,37,50,50,100,100,100,83,100,85,100,100,100,87,70,45,2,1,23,26,50,50, , ,51,45,42,49,46,44,85,50,67,60,4
1,1,3,47,1,5,4,2,1,2,9,6,5,5,5,2,4,4,4,6,5,4,5,5,98,84,100,85,95,71,100,78,88,77,100,70,100,70,99,80,98,81,99,63,98,66,69,66,99,67,74,67,78,57,89,85,93,90,72,72,98,90,89,85,100,71,99,30,94,23,4.666666666666667
1,1,1,50,2,8,5,1,2,3,6,5,4,4,4,3,3,4,3,3,3,1,2,1,98,25,96,48,98,56,83,49,95,49,91,29,95,20,95,21,97,60,96,58,94,55,96,54,96,62,92,14,88,50,93,24,79,50,96,8,93,39,91,20,93,46,36,17,92,28,1.3333333333333333
1,1,2,43,2,40,2,1,1,3,7,5,3,2,3,3,3,3,2,3,4,2,2,2,88,31,71,38,80,30,76,44,80,27,69,39,100,14,97,27, , ,100,50,98,48,84,46,96,49,100,28,83,28,69,50,100,42,53,38,97,25,49,40,35,43,54,40,38,35,2
1,1,2,58,2,15,3,2,2,3,9,5,6,6,6,4,5,5,5,5,5,4,3,2,78,38,62,60, , ,74,61,63,39,64,50,55,40,73,39,56,54,49,41,55,51,59,52,47,45,52,51,61,51,51,43,69,51,63,51,63,49,64,60,81,41,54,51,60,52,3
1,2,2,47,2,42,3,1,1,3,5,4,3,2,2,3,3,4,4,5,5,5,4,6,75,36,50,39,68,50,56,46,72,49,71,44,74,35,70,52,72,45,76,45,68,45,50,50,50,42,72,40,50,37,60,42,69,45,71,45,69,46,71,46,65,65,72,49,59,23,5
1,1,1,60,2,4,4,1,1,3,9,6,6,6,6,6,6,6,6,6,6,6,6,6,87,87,85,83,87,87,87,82,92,76,94,81,83,83,80,77,88,83,89,88,88,86,87,89,82,85,90,84,92,85,89,91,89,83,85,82,83,83,91,84,91,79,66,72,76,78,6
1,1,2,75,2,14,4,1,2,3,9,7,6,5,6,6,3,5,2,7,7,6,6,6,64,50,66,42,62,61,61,45,64,56,63,55,70,64,71,66,71,69,64,38,69,50,73,68,63,44,61,55,77,44,61,50,58,50,62,68,59,55,64,74,67,44,57,50,55,50,6
1,1,2,37,2,6,4,2,2,2,8,5,5,5,5,4,5,5,5,6,6,6,5,7,95,50,97,50,97,50,97,51,87,38,94,47,92,52,93,26,99,51,88,43,90,49,92,59,94,31,92,50,88,58,93,60,96,4,96,7,95,9,97,10,86,45,78,59,81,28,6
1,2,2,31,2,50,5,1,2,3,6,6,2,2,2,1,3,2,3,2,2,2,2,2,64,66,81,72,100,67,76,81,100,61,100,74,100,65,90,59,100,76,100,58,100,64,82,90,32,71,79,76,65,41,96,80,100,6,100,15,87,12,83,57,100,89,25,23,100,2,2
1,1,1,57,2,15,3,1,1,3,11,7,7,7,7,7,6,7,4,5,7,5,3,5,100,52,100,53,94,54,100,55,33,47,30,46,21,48,35,51,100,54,94,51,71,49,84,51,83,52,90,78,50,50,35,50,89,64,88,67,65,50,99,80,88,74,67,40,54,51,4.333333333333333
1,1,2,56,2,60,2,1,1,3,5,7,7,7,6,2,6,7,7,7,7,7,7,7,96,68,79,81,100,71,96,74,89,86,100,81,100,94,100,80,98,93,99,97,98,93,96,100,97,100,98,81,89,87,88,87,93,22,83,31,70,70,99,79,100,63,100,100,95,2,7
1,1,1,63,1,6,3,1,2,3,11,7,7,7,7,6,7,7,7,7,7,7,7,7,82,73,63,83,62,71,70,63,54,53,55,53,53,53,51,51,81,89,76,80,78,93,67,81,87,87,69,79,65,74,66,68,73,93,72,82,68,71,68,86,71,72,61,65,68,60,7
1,1,2,47,1,80,1,1,1,3,4,4,3,2,2,2,3,3,2,3,2,1,3,2,100,22,100,78,100,26,100,68,71,32,59,45,70,31,61,13,100,77,100,69,100,58,53,53,93,40,100,1,57,41,55,44,71,63,79,56,68,40,77,60,73,27,81,40,74,1,2
1,1,1,36,2,10,5,1,2,3,11,7,7,6,6,5,7,6,6,6,6,5,5,5,84,76,77,76, , ,78,75,81,92,78,77,69,65,50,50,73,70,70,70,67,69,69,68,67,66,67,63,80,89,77,87,61,63,63,61,56,68,71,67,46,45,54,53,61,56,5
1,1,2,45,2,15,3,1,1,2,8,6,5,5,4,3,5,5,2,4,5,2,2,2,100,88,100,89,100,73,100,67,100,89,100,78,100,74,88,72,100,98,100,96,100,88,79,54,100,88,100,91,100,80,79,77,100,91,100,86,64,67,82,86,100,76,81,82,100,69,2
1,1,1,57,1,12,3,1,1,3,11,5,7,6,6,4,6,7,6,6,6,7,4,7,83,72,72,71,84,93,81,81,86,100,74,84,76,82,67,72,89,100,82,83,75,100,83,78,85,89,67,63,81,100,74,99,95,86,75,72,81,78,79,100,68,95,87,94,71,68,6
1,2,3,56,2,14,3,2,1,2,9,6,6,5,5,6,5,6,5,6,6,5,5,6,100,87,100,91,100,93,100,100,87,80,73,58,50,50,73,70,94,89,41,29,59,51,64,60,44,39,90,85,91,85,91,85,93,92,94,86,91,85,94,93,100,77,89,50,100,61,5.333333333333333
1,1,3,56,2,15,3,1,1,2,8,6,3,4,4,4,5,4,4,2,3,4,3,3,100,55,96,76,100,78,100,55,89,78,96,84,100,85,100,78,100,82,100,91,100,83,83,85,75,73,100,85,91,55,65,54,90,72,100,80,59,58,82,69,84,68,71,65,100,54,3.3333333333333335
1,1,3,48,2,25,2,1,1,2,8,5,6,5,5,4,5,4,1,6,4,1,1,1,100,100,100,22,100,70,100,71,100,67,100,63,100,37,77,64,100,49,100,80,100,70,67,60,100,78,100,73,100,66,64,66,100,50,100,71,100,58,100,72,85,51,63,66,100,43,1
1,1,1,41,2,3,3,1,2,3,11,7,6,6,6,5,4,6,4,6,6,4,4,6,100,51,100,52,100,46,100,51,78,42,80,43,76,35,79,44,89,56,73,50,73,46,84,50,85,50,76,45,77,50,41,50,100,46,100,45,75,46,100,47,85,52,92,50,97,50,4.666666666666667
1,1,2,38,2,100,3,1,1,3,9,5,6,5,4,4,6,6,5,5,6,4,3,3,99,32,99,50,100,50,99,26,98,44,98,43,99,45,98,50,99,50,99,39,99,32,88,50,99,37,97,62,85,80,56,54,99,81,98,78,98,67,97,80,99,50,83,45,97,45,3.3333333333333335
1,1,1,38,1,7,4,2,2,3,7,6,5,5,3,6,3,2,2,1,5,2,1,4,100,12,100,41,100,45,100,12,90,83,83,60,93,54,78,76,100,44,96,57,77,61,53,50,94,55,86,50,65,55,55,55,67,65,87,85,49,50,82,73,54,50,89,69,100,58,2.3333333333333335
1,1,2,41,2,100,1,1,1,3,6,6,5,3,3,4,2,1,1,4,6,1,1,2,100,17,100,42,100,33,100,15,73,51,68,48,91,47,71,52,76,51,57,51,58,51,41,52,74,51,52,51,24,46,18,45,72,51,81,47,32,52,96,52,100,54,29,43,72,46,1.3333333333333333
1,1,2,57,2,15,3,2,1,2,9,5,5,5,5,4,5,6,4,4,6,5,5,4,77,76,80,50,83,50,81,38,87,81,99,69,100,67,78,51,100,100,50,50,82,50,93,90,82,81,86,37,84,79,56,50,86,50,100,83,76,50,100,87,50,50,61,60,82,28,4.666666666666667
1,1,1,33,2,6,2,2,2,3,11,7,7,7,7,7,7,7,7,7,7,7,7,5,100,100,95,94,39,73,100,100,94,90,68,62,68,72,95,86,100,100,100,94,88,88,100,100,100,100,89,85,96,92,100,95,100,98,91,88,96,100,100,99,93,93,97,89,97,100,6.333333333333333
1,1,3,58,2,30,2,1,2,3,7,6,6,6,4,4,5,5,5,5,5,5,5,6,100,82,100,74,98,50,100,79,89,83,89,83,98,91,96,88,97,83,78,76,93,85,50,50,99,62,98,40,90,50,86,60,89,46,97,40,92,50,73,53,97,81,77,70,98,40,5.333333333333333
1,1,2,43,2,5,3,2,1,3,11,7,6,7,4,7,6,7,7,7,7,7,7,7,93,97,100,29,100,21,100,29,92,22,89,90,82,81,88,85,100,100,92,90,94,91,93,92,93,90,100,30,91,100,85,100,100,100,100,100,94,88,100,100,93,88,89,27,83,78,7
1,1,2,45,2,12,4,1,1,3,10,7,6,6,6,4,6,6,6,6,7,6,6,7,54,53,55,53,54,52,53,52,56,54,56,53,55,51,55,52,59,63,59,60,56,50,53,54,56,52,57,51,60,53,53,50,62,52,56,50,56,51,78,55,60,52,56,52,53,50,6.333333333333333
1,1,2,57,2,35,3,1,1,3,10,7,5,4,5,5,5,5,5,7,7,5,5,6,65,30,65,43,62,41,66,46,51,42,53,50,64,34,51,42,53,54,53,55,64,46,53,56,59,42,53,42,55,44,54,45,53,55,66,54,56,43,51,47,53,45,51,56,73,60,5.333333333333333
1,1,1,52,2,15,4,1,2,3,3,5,3,1,2,1,3,2,2,1,4,2,2,1,92,6,95,11,88,5,93,7,79,33,81,16,82,11,89,19,76,69,75,56,63,34,59,49,74,51,74,1,72,1,76,7,74,19,74,7,83,6,77,1,71,41, , ,68,26,1.6666666666666667
1,1,1,62,2,5,4,2,2,3,10,5,6,6,6,6,6,5,5,6,6,4,4,4,100,28,100,50,100,50,100,33,100,80,100,67,89,79,78,56,100,100,84,69,100,50,100,70,100,54, , ,83,61,80,76,100,89,100,78,83,50,100,77,100,82,77,50,75,62,4
1,1,3,34,2,45,1,2,2,2,6,6,4,4,3,2,2,3,4,2,3,3,4,3,93,27,100,13,69,30,96,20,94,40,100,59,89,30,67,43,100,43,72,66,69,88,60,56,93,26,83,60,97,33,86,49,86,41,95,29,35,73,75,42,92,35,63,43,80,38,3.3333333333333335
1,1,2,52,2,5,4,1,1,3,10,5,6,6,6,6,7,6,7,7,7,6,6,5,95,87,100,50,100,90,100,91,76,76,78,74,63,42,80,80,100,65,100,61,100,51,88,57,100,66,87,80,95,65,92,83,95,83,100,62,100,62,94,76,77,50,77,67,87,64,5.666666666666667
1,1,2,47,2,50,2,2,1,2,9,6,6,6,6,5,5,6,6,6,6,5,5,5,100,21,100,40,100,26,100,40,80,62,99,56,100,46,100,53,100,60,100,79,100,48,60,52,100,54,100,30,100,41,100,45,100,82,100,56,100,55,100,53,100,34,100,33,100,30,5
1,1,1,30,1,3,5,1,2,3,10,6,6,6,6,6,6,6,6,6,6,5,6,5,71,50,85,50,93,50,90,50,73,50,76,50,80,50,86,50,95,50,99,50,91,50,86,50,87,50,73,50,75,47,44,50,77,50,83,50,42,50,85,50,80,50,33,50,88,40,5.333333333333333
1,1,3,28,1,90,2,1,1,2,9,6,5,5,5,5,6,6,6,5,6,6,5,6,100,39,100,42,100,53,99,27,100,40,100,37,100,15,96,41,100,55,82,45,87,49,65,50,95,42,100,1,100,42,100,50,100,62,100,44,93,50,100,64,100,11,100,44,57,47,5.666666666666667
1,1,3,54,2,15,3,2,1,2,8,4,5,2,3,4,4,4,4,4,5,4,4,1,99,10,82,33,71,43,75,50,60,50,69,50,80,50,59,50,80,39,62,50,77,50,62,50,84,24, , ,67,50,53,50,58,50,84,50,50,50,50,50,64,43,77,49,49,45,3
1,1,3,58,2,20,3,1,1,3,11,7,7,6,6,5,6,7,6,6,7,6,6,6,97,56,98,67,95,68,97,69,95,54,88,56,94,55,88,60,96,85,87,61,93,75,94,79,95,75,91,72,79,86,67,51,93,84,95,86,93,79,94,82,91,61, , ,55,46,6
1,1,2,54,2,12,3,1,1,3,10,7,6,6,4,6,6,6,4,6,6,4,5,5,98,86,96,86,93,68,97,82,85,61,77,74,77,75,77,72,98,95,100,97,89,85,90,87,96,92,93,91,92,88,92,38,91,90,92,89,82,41,93,90,94,89,80,74,86,66,4.666666666666667
1,1,2,50,1,70,3,1,1,3,10,4,5,4,4,5,4,5,4,6,5,6,6,6,90,50,90,50,67,49,91,50,96,50,95,50,96,50,96,50,100,55,100,50,100,50,100,50,100,50,96,33,96,50,96,47,96,45,94,37,94,42,96,39,92,50,97,45,97,41,6
1,1,1,39,2,10,1,1,1,3,8,5,6,4,5,5,5,6,5,5,5,5,3,3,68,54,77,56,62,43,64,58,66,54,61,52,46,42,59,52,73,69,66,61,69,55,69,65,69,58,45,43,55,47,60,54,89,71,57,53,40,42,72,57, , , , ,44,44,3.6666666666666665
1,2,1,38,1,3,5,1,1,3,10,7,6,6,6,1,7,7,7,6,7,7,5,4,99,78,100,100,100,100,100,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87,87,33,26,5.333333333333333
1,1,1,61,2,2,5,1,2,3,10,7,7,7,7,3,7,7,7,7,7,7,7,7,96,93,96,93,97,93,98,94,97,95,98,96,97,96,97,96,96,94,97,96,97,94,97,95,96,96,97,95,96,95,97,96,96,96,97,95,96,95,97,96,97,94,97,92,41,27,7
1,1,1,65,2,12,4,1,2,3,10,7,7,7,7,5,7,7,5,5,7,5,5,4,85,50,93,50,99,50,98,50,79,50,79,50,78,50,81,50,98,50,89,50,88,50,86,51,79,50,74,55,83,50,66,51,88,59,78,56,77,51,80,50,77,50,50,50,66,50,4.666666666666667
1,1,1,60,1,6,4,1,2,3,11,7,7,7,7,4,7,7,7,7,7,4,4,4,75,60,81,62,86,61,78,57,64,50,61,50,87,50,64,50,96,54,91,50,82,53,85,52,65,54,90,60,79,65,75,50,92,69,96,63,88,67,87,65,88,63,60,50,61,50,4
1,1,2,58,2,10,4,1,1,3,7,5,4,5,5,5,3,4,4,5,5,3,3,3,100,83,99,80,100,57,100,90,95,42,92,41,97,52,76,52,100,64,98,63,98,50,100,87,99,93,97,55,95,34,98,44,98,45,98,42,97,52,97,58,95,69,95,31,98,57,3
1,1,2,58,2,18,3,1,1,3,6,4,4,3,3,3,2,3,3,1,3,1,1,1,97,46,96,50,93,46,93,42,85,46,88,44,93,44,86,46,100,50,100,50,95,50,90,50,87,50,89,50,90,29,83,36,90,40,90,42,80,38,90,38,88,50,50,50,87,41,1
1,1,1,54,2,10,5,1,1,3,3,4,3,1,3,1,1,1,1,1,3,1,1,1,83,51,90,38,48,65,100,38,84,29,90,30,92,29,69,23,100,51,83,49,98,28,83,51,84,48,100,45,83,18,84,52,100,52,100,51,72,47,100,41, , ,84,42,100,1,1
1,1,3,63,2,15,4,1,1,2,5,2,3,2,1,1,2,2,2,2,4,2,2,2, , , , , , , , ,99,64,81,32,100,28,100,42,100,81,85,27,81,75,72,75,95,79,99,40,58,40,60,46,99,13,100,12,84,18,96,23,89,32, , ,77,24,2
